"element","image"
"2_1_1","3_0_0"
"2_1_2","3_0_1"
"2_1_3","3_0_2"
"2_1_4","3_0_3"
"2_1_5","3_0_4"
"2_1_6","3_0_5"
"2_1_7","3_0_6"
"2_1_8","3_0_7"
"2_1_9","3_0_8"
"2_1_10","3_0_9"
"2_1_11","3_0_10"
"2_1_12","3_0_11"
"2_1_13","3_0_12"
"2_1_14","3_0_13"
"2_1_15","3_0_14"
"2_1_16","3_0_15"
"2_1_17","3_0_16"
"2_1_18","3_0_17"
"2_1_19","3_0_18"
"2_1_20","3_0_19"
"2_1_21","3_0_20"
"2_1_22","3_0_21"
"2_1_23","3_0_22"
"2_1_24","3_0_23"
"2_1_25","3_0_24"
"2_1_26","3_0_25"
"2_1_27","3_0_26"
"2_1_28","3_0_27"
"2_1_29","3_0_28"
"2_1_30","3_0_29"
"2_1_31","3_0_30"
"2_1_32","3_0_31"
"2_1_33","3_0_32"
"2_1_34","3_0_33"
"2_1_35","3_0_34"
"2_1_36","3_0_35"
"2_1_37","3_0_36"
"2_1_38","3_0_37"
"2_1_39","3_0_38"
"2_1_40","3_0_39"
"2_1_41","3_0_40"
"2_1_42","3_0_41"
"2_1_43","3_0_42"
"2_1_44","3_0_43"
"2_1_45","3_0_44"
"2_1_46","3_0_45"
"2_1_47","3_0_46"
"2_1_48","3_0_47"
"2_1_49","3_0_48"
"2_1_50","3_0_49"
"2_1_51","3_0_50"
"2_1_52","3_0_51"
"2_1_53","3_0_52"
"2_1_54","3_0_53"
"2_1_55","3_0_54"
"2_1_56","3_0_55"
"2_1_57","3_0_56"
"2_1_58","3_0_57"
"2_1_59","3_0_58"
"2_1_60","3_0_59"
"2_1_61","3_0_60"
"2_1_62","3_0_61"
"2_1_63","3_0_62"
"2_1_64","3_0_63"
"2_1_65","3_0_64"
"2_1_66","3_0_65"
"2_1_67","3_0_66"
"2_1_68","3_0_67"
"2_1_69","3_0_68"
"2_1_70","3_0_69"
"2_1_71","3_0_70"
"2_1_72","3_0_71"
"2_1_73","3_0_72"
"2_1_74","3_0_73"
"2_1_75","3_0_74"
"2_1_76","3_0_75"
"2_1_77","3_0_76"
"2_1_78","3_0_77"
"2_1_79","3_0_78"
"2_1_80","3_0_79"
"2_1_81","3_0_80"
"2_1_82","3_0_81"
"2_1_83","3_0_82"
"2_1_84","3_0_83"
"2_1_85","3_0_84"
"2_1_86","3_0_85"
"2_1_87","3_0_86"
"2_1_88","3_0_87"
"2_1_89","3_0_88"
"2_1_90","3_0_89"
"2_1_91","3_0_90"
"2_1_92","3_0_91"
"2_1_93","3_0_92"
"2_1_94","3_0_93"
"2_1_95","3_0_94"
"2_1_96","3_0_95"
"2_1_97","3_0_96"
"2_1_98","3_0_97"
"2_1_99","3_0_98"
"2_2_2","3_1_1"
"4_3_1","7_0_0"
"3_3_2","5_1_1"
"4_3_2_0","0"
"4_3_2_1","7_0_1"
"2_3_3","3_2_2"
"4_3_3_0","0"
"4_3_3_1","7_0_2"
"4_3_4","7_0_3"
"4_3_5","7_0_4"
"4_3_6","7_0_5"
"4_3_7","7_0_6"
"4_3_8","7_0_7"
"4_3_9","7_0_8"
"4_3_10","7_0_9"
"4_3_11","7_0_10"
"4_3_12","7_0_11"
"4_3_13","7_0_12"
"4_3_14","7_0_13"
"4_3_15","7_0_14"
"4_3_16","7_0_15"
"4_3_17","7_0_16"
"4_3_18","7_0_17"
"4_3_19","7_0_18"
"4_3_20","7_0_19"
"4_3_21","7_0_20"
"4_3_22","7_0_21"
"4_3_23","7_0_22"
"4_3_24","7_0_23"
"4_3_25","7_0_24"
